Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,Log_Loss,Cohens_Kappa,MCC,Train_Accuracy,Train_Test_Gap,Mean_CV_Score,Std_Dev,Overall_Rank
random_forest,0.6318,0.6534,0.6318,0.6369,0.8263,0.5884,0.4231,0.4270,0.7332,0.1014,0.6286,0.0057,1
gradient_boosting,0.6297,0.6555,0.6297,0.6363,0.8249,0.5543,0.4200,0.4239,0.6880,0.0583,0.6373,0.0087,2
logistic_regression,0.6262,0.6500,0.6262,0.6239,0.8193,0.5457,0.4055,0.4178,0.6439,0.0176,0.6252,0.0037,3
decision_tree,0.6141,0.6427,0.6141,0.6236,0.8125,0.9500,0.4005,0.4025,0.6717,0.0576,0.6234,0.0258,4
